Date,Open,Close
11/21/03,574.39,580.7
11/24/03,580.64,602.36
11/25/03,602.37,607.35
11/26/03,607.44,603.27
11/28/03,603.27,606.79
12/1/03,606.89,622.07
12/2/03,622.07,619.69
12/3/03,619.69,607.78
12/4/03,607.87,604.48
12/5/03,604.49,602.55
12/8/03,602.57,613.22
12/9/03,613.22,587.7
12/10/03,587.7,556.59
12/11/03,556.57,572.51
12/12/03,572.7,579.09
12/15/03,579.27,569.11
12/16/03,569.2,574.75
12/17/03,574.8,586.08
12/18/03,586.08,593.93
12/19/03,593.93,596.56
12/22/03,596.43,605.82
12/23/03,605.82,608.78
12/24/03,608.48,603.71
12/26/03,603.75,607.74
12/29/03,607.74,609.76
12/30/03,609.72,598.49
12/31/03,598.49,592.43
1/1/04,598.49,592.43
1/2/04,592.44,572.89
1/5/04,572.9,561.6
1/6/04,561.61,574.23
1/7/04,574.23,569.35
1/8/04,569.31,543.99
1/9/04,545.79,558.57
1/12/04,558.68,545.86
1/13/04,545.86,538.35
1/14/04,538.35,549.51
1/15/04,549.59,553.59
1/16/04,553.71,555.88
1/20/04,555.89,552.25
1/21/04,553.92,579.75
1/22/04,580,583.92
1/23/04,583.99,581.66
1/26/04,581.77,583.12
1/27/04,583.2,585.39
1/28/04,585.53,553.56
1/29/04,553.44,553.14
1/30/04,553.35,558.67
2/2/04,558.65,564.4
2/3/04,564.57,573.28
2/5/04,558.45,562.19
2/6/04,562.29,585.11
2/9/04,585.11,583.36
2/10/04,583.39,581.57
2/11/04,581.57,599.03
2/12/04,599.32,599.32
2/13/04,599.32,593.37
2/17/04,594.14,607.38
2/18/04,607.38,600.17
2/19/04,600.35,598.04
2/20/04,598.36,587.82
2/23/04,587.8,584.19
2/24/04,584.13,588
2/25/04,588.04,592.88
2/26/04,592.96,615.24
2/27/04,615.15,632.91
3/1/04,633.38,658.08
3/2/04,658.37,654.91
3/3/04,654.91,653.59
3/4/04,653.59,670.4
3/5/04,670.41,690.98
3/8/04,690.98,686.19
3/9/04,686.19,682
3/10/04,682.05,666.03
3/11/04,665.89,664.47
3/12/04,664.56,676.58
3/15/04,676.67,676.72
3/16/04,676.72,677.63
3/17/04,677.54,667.74
3/18/04,667.75,670.32
3/19/04,670.32,661.95
3/22/04,661.96,655.38
3/23/04,655.74,658.57
3/24/04,658.65,653.13
3/25/04,653.21,661.32
3/26/04,661.32,662.39
3/29/04,662.57,661.3
3/30/04,661.3,677.66
3/31/04,679.34,673.67
4/1/04,674.43,673.16
4/2/04,673.25,644.47
4/5/04,644.47,632.43
4/6/04,632.85,637.64
4/7/04,637.64,632.83
4/8/04,633.25,622.49
4/12/04,622.51,611.89
4/13/04,611.86,601.95
4/14/04,601.94,603.45
4/15/04,603.57,606.61
4/16/04,606.7,612.65
4/19/04,612.58,604.38
4/20/04,604.38,587.03
4/21/04,587.13,597.41
4/22/04,598.89,619.52
4/23/04,619.53,607.11
4/26/04,606.92,607.85
4/27/04,608.27,622.38
4/28/04,622.38,602.3
4/29/04,602.3,587.58
4/30/04,587.63,587.85
5/3/04,589.67,592.63
5/4/04,596.1,589.22
5/5/04,595.41,595.28
5/6/04,595.23,582.07
5/7/04,580.67,552.95
5/10/04,552.95,538.01
5/11/04,538.01,543.81
5/12/04,543.83,545.62
5/13/04,545.62,550.28
5/14/04,550.33,557.57
5/17/04,557.57,549.04
5/18/04,549.09,551.54
5/19/04,551.6,536.21
5/20/04,536.3,538.93
5/21/04,538.97,547.38
5/24/04,547.35,564.94
5/25/04,564.89,592.63
5/26/04,592.6,585.51
5/27/04,585.99,593.66
5/28/04,593.89,592.86
6/1/04,592.88,589.63
6/2/04,589.63,586.29
6/3/04,585.81,578.89
6/4/04,581.23,581.92
6/7/04,581.97,609.26
6/8/04,609.07,592.62
6/9/04,592.62,576.12
6/10/04,576.13,575.26
6/14/04,575.24,560.96
6/15/04,563.8,569.18
6/16/04,569.18,563.28
6/17/04,563.4,571.23
6/18/04,571.08,573.07
6/21/04,573.06,569.14
6/22/04,569.15,575.27
6/23/04,575.12,589.28
6/24/04,589.66,600.89
6/25/04,601.26,599.13
6/28/04,598.5,580.57
6/29/04,580.57,573.23
6/30/04,573.39,584.97
7/1/04,585.18,578.9
7/2/04,578.9,589
7/6/04,588.98,574.63
7/7/04,574.63,574.28
7/8/04,574.25,545.09
7/9/04,545.26,550.4
7/12/04,550.42,553.45
7/13/04,553.56,566.08
7/14/04,566,557.36
7/15/04,557.37,558.68
7/16/04,558.81,565.26
7/19/04,565.37,555.3
7/20/04,555.15,550.92
7/21/04,550.92,541.37
7/22/04,541.37,551.42
7/23/04,550.95,549.26
7/26/04,549.28,543.26
7/27/04,543.34,551.82
7/28/04,551.77,552.93
7/29/04,553.06,565.2
7/30/04,565.23,567.14
8/2/04,566.8,576.65
8/3/04,576.72,572.5
8/4/04,572.47,575.77
8/5/04,576.25,573.23
8/6/04,573.59,575.73
8/9/04,575.73,571.06
8/10/04,571.09,581.97
8/11/04,581.87,578.44
8/12/04,578.44,571.23
8/13/04,571.23,578.54
8/16/04,578.54,595.48
8/17/04,595.8,608.2
8/18/04,608.2,611.19
8/19/04,610.74,604.89
8/20/04,605.01,610.7
8/23/04,610.7,620.35
8/25/04,616.4,610.07
8/26/04,609.63,614.11
8/27/04,614.08,616.56
8/30/04,616.47,605.09
9/1/04,615.23,625
9/2/04,625,625.75
9/3/04,625.75,625.67
9/7/04,625.8,648.07
9/8/04,648.07,637.14
9/9/04,648.07,643.13
9/10/04,643.13,640.93
9/13/04,641.04,647.87
9/14/04,647.85,651.54
9/15/04,651.53,648.14
9/16/04,648.17,657.77
9/17/04,657.77,658.9
9/20/04,658.9,645.97
9/21/04,646.57,671.89
9/22/04,671.73,674.67
9/23/04,674.7,668.23
9/24/04,668.24,666.16
9/27/04,666.15,674.47
9/28/04,674.51,662.37
9/29/04,662.27,655.73
9/30/04,655.45,664.51
10/1/04,664.54,666.96
10/4/04,667,631.51
10/5/04,631.52,618.45
10/6/04,618.5,628.76
10/7/04,628.73,604.15
10/8/04,604.18,606.15
10/11/04,606.27,600.98
10/12/04,600.98,609.56
10/13/04,609.16,595.03
10/14/04,595.03,597.36
10/18/04,598.99,597.71
10/19/04,597.68,592.17
10/20/04,592.13,589.86
10/21/04,590,598.34
10/22/04,598.81,594.53
10/25/04,594.55,619.87
10/26/04,619.87,641.46
10/27/04,641.5,647.69
10/28/04,647.64,649.81
10/29/04,649.8,648.84
11/1/04,648.77,653.97
11/2/04,653.97,663.56
11/3/04,663.56,665.94
11/4/04,664.07,663.9
11/5/04,663.91,656.55
11/8/04,656.52,663.6
11/9/04,663.6,673.9
11/10/04,673.94,673.52
11/11/04,673.6,672.58
11/12/04,672.81,700.06
11/15/04,699.84,712.68
11/16/04,712.52,699.38
11/17/04,699.4,706.61
11/18/04,706.75,708.54
11/19/04,708.54,691.53
11/22/04,691.53,699.56
11/23/04,699.56,700.05
11/24/04,700.05,709.29
11/26/04,709.3,708.62
11/29/04,708.62,686.65
11/30/04,686.65,686.58
12/1/04,686.33,704.22
12/2/04,704.13,687.63
12/3/04,687.6,704.45
12/6/04,704.46,707.16
12/7/04,707.17,695.88
12/8/04,695.88,688.1
12/9/04,689.43,726.02
12/10/04,726,761.42
12/13/04,761.42,763.39
12/14/04,763.4,765.52
12/15/04,765.57,807.15
12/16/04,807.15,794.72
12/17/04,794.72,787.26
12/20/04,787.26,785.3
12/21/04,785.41,785.93
12/22/04,787.26,794.97
12/23/04,794.98,785.9
12/27/04,785.96,771.19
12/28/04,771.56,793.22
12/29/04,793.23,792.77
12/30/04,792.76,801.08
12/31/04,801.08,804.49
1/3/05,804.49,792.29
1/4/05,792.25,759.24
1/5/05,759.52,750.77
1/6/05,750.66,763.56
1/7/05,763.56,762.24
1/10/05,762.65,787.21
1/11/05,787.21,786.43
1/12/05,786.22,785.23
1/13/05,785.49,810.19
1/14/05,810.23,829
1/18/05,829,830.94
1/19/05,830.95,833.56
1/20/05,833.56,807.05
1/21/05,807.3,803.35
1/24/05,803.35,801.44
1/25/05,801.39,804.04
1/26/05,804.04,821.14
1/27/05,821.05,806.71
1/28/05,807.14,818.36
1/31/05,818.36,830.24
2/1/05,830.36,847.99
2/2/05,847.99,846.19
2/3/05,846.18,843.08
2/4/05,843.02,885.96
2/7/05,885.76,882.94
2/8/05,883.25,902.84
2/9/05,902.26,883.56
2/10/05,883.11,886.79
2/11/05,886.73,865.78
2/14/05,865.75,860.17
2/15/05,860.09,852.81
2/16/05,854.4,870.88
2/17/05,870.88,875.29
2/18/05,875.33,868.02
2/22/05,868.02,835.55
2/23/05,835.58,844.91
2/24/05,845.05,888.44
2/25/05,888.44,927.88
2/28/05,927.5,909.96
3/1/05,909.96,913.52
3/2/05,913.53,898.94
3/3/05,898.95,894.97
3/4/05,895.05,931.49
3/7/05,931.76,925.93
3/8/05,925.92,898.39
3/9/05,898.39,869.25
3/10/05,869.33,857.23
3/11/05,857.12,858.19
3/14/05,858.08,852.87
3/15/05,853.71,852.24
3/16/05,855.23,852.5
3/17/05,852.46,837.18
3/18/05,837.32,839.14
3/21/05,839.14,838.34
3/22/05,839.6,841.91
3/23/05,841.9,831.97
3/24/05,831.99,843.22
3/28/05,843.3,841.47
3/29/05,841.48,825.59
3/30/05,825.61,827.49
3/31/05,827.66,834.36
4/1/05,834.36,848.7
4/4/05,848.67,856.81
4/5/05,857.16,850.91
4/6/05,850.91,834.83
4/7/05,834.97,843.68
4/8/05,843.78,835.14
4/11/05,835.19,835.2
4/12/05,835.17,860.2
4/13/05,859.85,841.44
4/14/05,841.35,806.72
